,start_time,end_time,station_start_name,start_lat,start_long,station_end_name,end_lat,end_long,user_type,time_travel,miles,time_travel_seconds
7240,2022-08-18 18:20:06,2022-08-18 18:24:04,Clinton St & 7 St,40.74542,-74.03332,Mama Johnson Field - 4 St & Jackson St,40.74313993965626,-74.04004096984863,member,238,0.3862189543920142,238
16877,2022-04-01 16:34:34,2022-04-01 17:11:08,Brunswick St,40.7241765,-74.0506564,Jersey & 3rd,40.72333158646436,-74.04595255851744,member,2194,0.25372585184011665,2194
3037,2017-08-03 12:11:18,2017-08-03 12:19:54,Heights Elevator,40.74871594538023,-74.04044330120087,Leonard Gordon Park,40.74590996631558,-74.0572714805603,member,516,0.9040908704898923,516
5857,2022-01-10 09:22:55,2022-01-10 09:30:27,5 Corners Library,40.73496102000952,-74.0595030784607,Sip Ave,40.73089709786179,-74.06391263008118,casual,452,0.36360358372117585,452
15596,2022-01-15 14:36:51,2022-01-15 14:40:51,Marin Light Rail,40.71458403535893,-74.04281705617905,City Hall,40.7177325,-74.043845,member,240,0.22385457834866795,240
15283,2022-01-21 18:32:55,2022-01-21 18:35:45,Lafayette Park,40.71346382669195,-74.06285852193832,Liberty Light Rail,40.7112423,-74.0557013,casual,170,0.40585749147500666,170
40860,2022-04-14 12:25:36,2022-04-14 12:29:07,Manila & 1st,40.72165072487999,-74.04288411140442,Hamilton Park,40.727595966,-74.044247311,member,211,0.41643090156562546,211
34899,2022-08-16 22:54:08,2022-08-16 23:03:01,Columbus Dr at Exchange Pl,40.71695447,-74.032800317,Newport Pkwy,40.7287448,-74.0321082,casual,533,0.8143717086417938,533
14869,2022-08-08 17:30:35,2022-08-08 17:47:37,Bloomfield St & 15 St,40.75453,-74.02658,Clinton St & Newark St,40.73743,-74.03571,casual,1022,1.2735159690837534,1022
32079,2022-08-07 12:16:14,2022-08-07 12:59:15,Morris Canal,40.712230921,-74.038185596,Marin Light Rail,40.71458403535893,-74.04281705617905,casual,2581,0.29240042852562964,2581
3381,2022-04-16 09:02:47,2022-04-16 09:06:06,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,6 St & Grand St,40.7443978330956,-74.03450086712837,member,199,0.3174246498551779,199
54459,2022-04-22 08:50:06,2022-04-22 08:55:34,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,City Hall - Washington St & 1 St,40.73736,-74.03097,member,328,0.7493645387878746,328
37667,2022-08-13 14:15:26,2022-08-13 14:29:33,Union St,40.7182113,-74.0836394,Hilltop,40.7311689,-74.0575736,casual,847,1.6345685936036614,847
36645,2022-12-30 13:05:59,2022-12-30 13:09:11,Manila & 1st,40.72165072487999,-74.04288411140442,Jersey & 6th St,40.72528910781132,-74.04557168483734,member,192,0.28798605434274777,192
13035,2022-12-18 17:42:42,2022-12-18 17:43:51,Columbus Dr at Exchange Pl,40.71687,-74.03281,Harborside,40.7192517,-74.034234,member,69,0.1805488808172286,69
74377,2022-08-08 08:25:01,2022-08-08 08:29:27,7 St & Monroe St,40.74641264837719,-74.03797701001167,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,member,266,0.6194911195217542,266
